Names

"Borough Hall: 120-55 Queens Blvd, Jamaica, NY 11424"

"McDonald Playground: 2099 McDonald Ave, Brooklyn, NY 11223"

"Gravesend Park: 18th Ave. and 19th Avenue, Brooklyn, NY 11204"

"Kolbert Playground: E 17th St Brooklyn, NY 11230"

"Mellet Playground: Corner of 14th Street and Avenue V, Brooklyn, 11229"

"Washington Hall Playground: Corner of Hall Street and Park Avenue, Brooklyn, 11205"

"Mauro Playground: 73-2 Park Dr E, Flushing, NY 11367"

"First Baptist Church: Corner of 31st nd 100th Street, Flushing, NY 11369"

"Beach 9th Playground: Corner of Beach 9th Street and Seagirt Avenue, Far Rockaway, 11691"

"Leif Ericson Park: 6600 Fort Hamilton Pkwy, Brooklyn, NY 11219"

"Seth Low Park: Corner of 74th Street and Bay Parkway, Brooklyn, NY 11204"

"Herman Dolgon Playground: Corner of Brown Street and Avenue V., NYC, NY 11229"

"Sobelsohn Playground: Park Ln S, Richmond Hill, NY 11418"

"Paerdegat Park: Albany Ave &, Foster Ave, Brooklyn, NY 11210"

"Rapid Point of Care Testing: Borough Park, 4002 Fort Hamilton Pkwy, Brooklyn, NY 11218"

"Far Rockaway: 39-20 Rockaway Beach Boulevard, Queens, NY 11691"

"Bensonhurst: 6315 14th Avenue, Brooklyn, NY 11219"


"NYC Health + Hospitals/Gotham Health, Belvis: 545 East 142nd Street, Bronx, New York 10454"

"NYC Health + Hospitals/Jacobi: 1400 Pelham Parkway South, Bronx, New York 10461"

"NYC Health + Hospitals/Lincoln: 234 East 149th Street, Bronx, New York 10451"

"NYC Health + Hospitals/Gotham Health, Morrisania: 1225 Gerard Avenue, Bronx, New York 10452"

"NYC Health + Hospitals/North Central Bronx: 3424 Kossuth Avenue, Bronx, New York 10467_"

"4101 White Plains: 4101 White Plains Road, Bronx, NY 10466"

"Bathgate Contract Postal Station: 4006 3rd Avenue, Bronx, NY 19457"

"Edward Grant: 1302 Edward L Grant Highway, Bronx, NY 10452"

"Rain Boston Road Senior Center: 2424 Boston Road, Bronx, NY 10467"

"St James Rec Center: 2530 Jerome Avenue, Bronx, NY 10468"

"Co-op City Retail Space: 105 Dreiser Loop, Bronx, NY 10475"


"NYC Health + Hospitals/Coney Island: 2601 Ocean Parkway, Brooklyn, New York 11235"

"NYC Health + Hospitals/Gotham Health, Cumberland: 100 North Portland Avenue, Brooklyn, New York 11205"

"NYC Health + Hospitals/Gotham Health, East New York: 2094 Pitkin Avenue, Brooklyn, New York 11207"

"NYC Health + Hospitals/Ida G. Israel Community Health Center: 2925 W 19th Street, Brooklyn, New York 11224"

"NYC Health + Hospitals/Gotham Health, Jonathan Williams Houses: 333 Roebling Street, Brooklyn, New York 11211"

"NYC Health + Hospitals/Kings County: 451 Clarkson Avenue, Brooklyn, New York 11203"

"NYC Health + Hospitals/Woodhull: 760 Broadway, Brooklyn, New York 11206"


"196 Albany: 196 Albany Avenue, Brooklyn, NY 11213"

"4002 Fort Hamilton: 4002 Fort Hamilton Parkway, Brooklyn, NY 11218"

"Bay Ridge 5th Ave: 8511 & 8515 5th Avenue, Brooklyn, NY 11209"


"Bensonhurst 14th Ave: 6315 14th Avenue, Brooklyn, NY 11219"

"Brooklyn Army Terminal: 140 58th Street, Brooklyn, NY 11220"

"Canarsie Muni Lot (aka 1389 Rockaway Parkway): 993 East 98 Street, Brooklyn, NY 11236 "

"Midwood Pre-K: 1223 Coney Island Avenue, Brooklyn, NY 11230"

"Red Hook Recreation Center: 155 Bay Street, Brooklyn, NY 11231"


"NYC Health + Hospitals/Bellevue: 462 First Avenue, New York, New York 10016"

"NYC Health + Hospitals/Gotham Health Dyckman-Clinica de Las Americas:175 Nagle Avenue, New York, New York 10034"

"NYC Health + Hospitals/Gotham Health, Gouverneur: 227 Madison Street, New York, New York 10002"

"NYC Health + Hospitals/Harlem: 506 Lenox Avenue, New York, New York 10037"

"NYC Health + Hospitals/Metropolitan: 1901 First Avenue, New York, New York 10029"

"NYC Health + Hospitals/Gotham Health, Sydenham: 264 West 118th Street, New York, New York 10026"

"Highbridge Pool: 2301 Amsterdam Avenue, New York, New York 10033"

"Old Broadway: 21 Old Broadway, New York, NY 10027"

"Saint Nicholas Houses: 281 West 127th Street, New York, New York 10035"


"NYC Health + Hospitals/Elmhurst: 79-01 Broadway, Elmhurst, New York 11373"

"NYC Health + Hospitals/Queens: 82-68 164th Street, Jamaica, New York 11432"

"NYC Health + Hospitals/Gotham Health, Woodside: 50-53 Newtown Road, Woodside, New York 11377"

"51-30 Northern Boulevard: 51-30 Northern Boulevard, Woodside, NY 11377"

"Beach 39th: 39-20 Rockaway Beach Boulevard, Queens, NY 11691"

"The Episcopal Church of St. Alban the Martyr: 116-42 Farmers Blvd, St. Albans, NY 11412"

"Sorrentino Rec Center: 18-48 Cornaga Avenue, Queens, NY 11691"

"Windsor Park Library: 79-50 Bell Blvd, Flushing/Queens, NY 11364"

"NYC Health + Hospitals/Gotham Health, Vanderbilt: 165 Vanderbilt Avenue, Staten Island, New York 10304"

"NYC Health + Hospitals/Gotham Health, Vanderbilt (Drive-Thru): 176 Tompkins Avenue, Staten Island, NY 10304"

"Former St John Villa HS: 57 Cleveland Place, Staten Island, NY 10305"

"Greenbelt Recreation Center: 501 Brielle Avenue, Staten Island, NY 10314"

Mariners Harbor Library Mariner's Harbor Branch: 206 South Avenue
