"Restaurant.Name","BBL","Building.Number","Street","Borough","Postcode","Latitude","Longitude","Business.Address","Approved.for.Sidewalk.Seating","Approved.for.Roadway.Seating","Qualify.Alcohol","Time.of.Submission","GRADE","GRADE.DATE","CUISINE.DESCRIPTION","Time"
"kosher Hut of Brooklyn",3066640027,"709","Kings Highway","Brooklyn",11223,40.606205,-73.965438,"709 Kings Highway, Brooklyn, NY","yes","no","no","08/21/2020 10:06:00 AM","A",2020-02-18,"Jewish/Kosher","08/21/2020"
"BLUE CITY LOUNGE CORP.",4017020062,"10711","NORTHERN BLVD","Queens",11368,40.757809,-73.861702,"10711 NORTHERN BLVD, Queens, NY","yes","yes","no","08/20/2020 06:41:00 PM","B",2019-10-17,"Spanish","08/20/2020"
"Absurd Conclave",3031760011,"360","Jefferson st.","Brooklyn",11237,40.705764,-73.924821,"360 Jefferson st., Brooklyn, NY","yes","yes","no","08/21/2020 11:10:00 AM","A",2018-07-10,"Juice, Smoothies, Fruit Salads","08/21/2020"
"Upi Jaya",4015220002,"7604","Woodside Ave","Queens",11373,40.74342,-73.888712,"7604  Woodside Ave, Queens, NY","yes","yes","no","08/14/2020 05:49:00 PM","A",2019-09-26,"Indonesian","08/14/2020"
"Annie Mooreï¿½s",1012750060,"22","East 41st st","Manhattan",10017,40.752343,-73.980275,"22 East 41st st, Manhattan, NY","yes","yes","yes","06/24/2020 08:54:00 PM","A",2019-05-30,"American","06/24/2020"
"MARIA ON THE GRILL INC",3042310014,"2678","PITKIN AVENUE","Brooklyn",11208,40.67521,-73.873208,"2678 PITKIN AVENUE, Brooklyn, NY","yes","no","no","08/17/2020 11:14:00 AM","N",2020-08-17,"Spanish","08/17/2020"
"Kitsby Dessert Bar",3023937501,"186","Grand Street","Brooklyn",11211,40.714271,-73.96075,"186 Grand Street, Brooklyn, NY","yes","yes","no","08/16/2020 01:08:00 PM","A",2019-05-21,"Café/Coffee/Tea","08/16/2020"
"SPICE UP",2037940127,"1926D","CROSS BRONX EXPY","Bronx",10472,40.832647,-73.859433,"1926D CROSS BRONX EXPY, Bronx, NY","yes","yes","no","08/14/2020 12:45:00 PM","A",2019-06-17,"Bakery","08/14/2020"
"Marco Polo Pizza & Deli",1015030053,"1289","Madison Avenue","Manhattan",10128,40.784485,-73.956155,"1289 Madison Avenue, Manhattan, NY","yes","no","no","08/14/2020 01:47:00 PM","A",2019-03-11,"Delicatessen","08/14/2020"
"Tel Aviv Cafe",3067580064,"1911","CONEY ISLAND AVE","Brooklyn",11230,40.610876,-73.962532,"1911    CONEY ISLAND AVE, Brooklyn, NY","yes","yes","no","08/14/2020 10:17:00 PM","A",2019-02-27,"Middle Eastern","08/14/2020"
"Healthy Joe's",1001240004,"10","Murray street","Manhattan",10007,40.713298,-74.007773,"10 Murray street, Manhattan, NY","yes","yes","no","08/17/2020 10:14:00 AM","A",2020-03-03,"Pizza","08/17/2020"
"Sweet Moment",1002047501,"106","Mott Street","Manhattan",10013,40.717481,-73.997338,"106 Mott Street, Manhattan, NY","yes","yes","no","08/20/2020 01:59:00 PM","A",2019-11-22,"Café/Coffee/Tea","08/20/2020"
"PICK A BAGEL",1014310026,"1475","Second Avenue","Manhattan",10075,40.771832,-73.956167,"1475 Second Avenue , Manhattan, NY","yes","no","no","08/20/2020 06:30:00 PM","A",2019-07-26,"Bakery","08/20/2020"
"Zucker's Bagels Flatiron",1008510049,"40","East 23rd street","Manhattan",10010,40.740646,-73.987474,"40 East 23rd street, Manhattan, NY","no","yes","no","08/14/2020 12:22:00 PM","A",2019-12-12,"Bagels/Pretzels","08/14/2020"
"Talia's Restaurant Group LLC",1012400036,"668","Amsterdam Avenue","Manhattan",10025,40.79186,-73.971979,"668 Amsterdam Avenue, Manhattan, NY","yes","no","yes","06/23/2020 01:10:00 AM","A",2020-01-24,"Jewish/Kosher","06/23/2020"
"GYRO KING",2031840039,"50","EAST FORDHAM RD","Bronx",10468,40.862447,-73.90024,"50 EAST FORDHAM RD, Bronx, NY","yes","yes","no","08/16/2020 02:13:00 PM","A",2020-03-11,"Greek","08/16/2020"
"KARIZMA LOUNGE CORP",1013240131,"244","EAST 51 STREET","Manhattan",10002,40.756005,-73.969276,"244 EAST 51 STREET, Manhattan, NY","yes","yes","yes","06/22/2020 05:55:00 PM","A",2019-09-16,"Middle Eastern","06/22/2020"
"SPIN",1008510041,"48","East 23rd Street","Manhattan",10010,40.740599,-73.987359,"48 East 23rd Street, Manhattan, NY","yes","no","no","08/16/2020 01:17:00 PM","A",2020-02-07,"Café/Coffee/Tea","08/16/2020"
"Qing Dao Restaurant",4050370061,"40-46","Main Street","Queens",11354,40.758477,-73.829611,"40-46 Main Street, Queens, NY","yes","no","no","08/16/2020 09:08:00 AM","B",2019-12-09,"Chinese","08/16/2020"
"Le Pain Quotidien Tribeca",1001367503,"81","West Broadway","Manhattan",10007,40.71509,-74.009566,"81 West Broadway, Manhattan, NY","yes","yes","no","08/17/2020 09:32:00 AM","A",2019-04-08,"Sandwiches/Salads/Mixed Buffet","08/17/2020"
"Annapurna Thakali Kitchen Inc",4013040043,"72-24","Roosevelt Avenue","Queens",11372,40.746655,-73.893181,"72-24 Roosevelt Avenue, Queens, NY","no","yes","no","08/14/2020 01:19:00 PM","B",2019-10-07,"Asian","08/14/2020"
"Little Atlas",1005357501,"6","west 4th street","Manhattan",10012,40.728559,-73.99457,"6 west 4th street, Manhattan, NY","yes","yes","no","08/20/2020 11:39:00 AM","A",2020-03-05,"American","08/20/2020"
"NUM PANG KITCHEN",1000160125,"225","LIBERTY STREET","Manhattan",10281,40.711537,-74.015673,"225 LIBERTY STREET, Manhattan, NY","yes","no","no","08/21/2020 11:27:00 AM","A",2020-03-02,"Bakery","08/21/2020"
"NUM PANG KITCHEN",1000160125,"225","LIBERTY STREET","Manhattan",10281,40.711537,-74.015673,"225 LIBERTY STREET, Manhattan, NY","yes","no","no","08/21/2020 11:27:00 AM","A",2020-03-02,"French","08/21/2020"
"Le Pain Quotidien 53rd street",1012890107,"7","E 53rd St","Manhattan",10022,40.760222,-73.975342,"7 E 53rd St, Manhattan, NY","yes","yes","no","08/17/2020 09:21:00 AM","A",2019-09-12,"Sandwiches","08/17/2020"
"Bilao Filipino Cuisine",1014490026,"1437","1st Ave","Manhattan",10021,40.7696,-73.954703,"1437 1st Ave, Manhattan, NY","yes","yes","no","08/17/2020 09:20:00 AM","A",2020-01-03,"Soups & Sandwiches","08/17/2020"
"Kame",1007760004,"330","8th AVE","Manhattan",10001,40.747511,-73.996864,"330 8th AVE, Manhattan, NY","yes","no","no","08/14/2020 03:04:00 PM","Z",2020-03-05,"Pizza/Italian","08/14/2020"
"Grab & Go Cafe",3008630048,"475","60th Street","Brooklyn",11214,40.63991,-74.016867,"475 60th Street, Brooklyn, NY","no","yes","no","08/15/2020 11:16:00 AM","A",2019-12-02,"Sandwiches/Salads/Mixed Buffet","08/15/2020"
"The Dip",1004490018,"58","St. Marks Pl.","Manhattan",10003,40.728157,-73.986654,"58 St. Marks Pl., Manhattan, NY","yes","yes","no","08/15/2020 05:17:00 PM","A",2020-03-04,"Sandwiches","08/15/2020"
"Olympia Wine Bar",3000300019,"54","Jay Street","Brooklyn",11201,40.703265,-73.986648,"54 Jay Street, Brooklyn, NY","yes","yes","yes","06/20/2020 10:36:00 AM","A",2019-08-16,"American","06/20/2020"
"Taszo",1021340180,"5","Edward M Morgan Place","Manhattan",10032,40.834534,-73.9454,"5 Edward M Morgan Place, Manhattan, NY","yes","yes","yes","06/22/2020 12:27:00 PM","A",2020-02-13,"Mexican","06/22/2020"
"Sabor Andino",3057400044,"6314","14th Avenue","Brooklyn",11219,40.625682,-73.998271,"6314  14th Avenue , Brooklyn, NY","yes","yes","yes","06/25/2020 08:40:00 PM","A",2019-10-08,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","06/25/2020"
"Bayridge Sushi",3058710050,"6914","3rd Ave","Brooklyn",11209,40.635524,-74.026136,"6914  3rd Ave , Brooklyn, NY","yes","no","yes","06/21/2020 01:09:00 PM","A",2019-10-01,"Japanese","06/21/2020"
"Bar B",1007650035,"84","7th Avenue","Manhattan",10011,40.739477,-73.999022,"84 7th Avenue , Manhattan, NY","yes","no","yes","08/21/2020 03:09:00 PM","A",2019-06-06,"Italian","08/21/2020"
"La Ripaille",1006240017,"605","Hudson Street","Manhattan",10014,40.737361,-74.005741,"605 Hudson Street, Manhattan, NY","yes","no","yes","07/31/2020 04:58:00 PM","A",2019-11-19,"French","07/31/2020"
"THOMPSON DINER",4002480036,"32-44","Queens Blvd","Staten Island",11101,40.744738,-73.932323,"32-44 Queens Blvd, Staten Island, NY","yes","no","yes","07/22/2020 01:49:00 PM","A",2020-01-10,"American","07/22/2020"
"Sushi Yu 2",1021797502,"827","West 181 Street","Manhattan",10033,40.851282,-73.939596,"827 West 181 Street, Manhattan, NY","no","yes","yes","08/20/2020 01:49:00 PM","B",2020-03-04,"Chinese","08/20/2020"
"Club Cumming",1004020063,"505","East 6th street","Manhattan",10009,40.725305,-73.983538,"505 East 6th street, Manhattan, NY","yes","yes","yes","07/16/2020 04:10:00 PM","A",2019-03-15,"American","07/16/2020"
"The Hairy Lemon",1003980033,"28-30","Avenue B","Manhattan",10009,40.722373,-73.983196,"28-30 Avenue B, Manhattan, NY","no","no","yes","07/16/2020 02:35:00 AM","A",2019-11-13,"American","07/16/2020"
"Beyond Sushi",1004950041,"215","Mulberry","Manhattan",10012,40.722213,-73.996176,"215 Mulberry , Manhattan, NY","no","yes","yes","07/29/2020 01:42:00 PM","A",2019-05-06,"Vegetarian","07/29/2020"
"M. Wells Steakhouse",4004340006,"43-15","Crescent Street","Queens",11101,40.748674,-73.942323,"43-15 Crescent Street, Queens, NY","yes","yes","yes","06/29/2020 03:27:00 PM","A",2019-03-14,"American","06/29/2020"
"KOTOBUKI MANHATTAN",1005560024,"56","3 AVE","Manhattan",10003,40.731028,-73.988844,"56 3 AVE, Manhattan, NY","yes","no","yes","07/16/2020 02:16:00 PM","A",2019-11-04,"Japanese","07/16/2020"
"Union Street Pizza",3004410030,"226","4th Ave","Brooklyn",11215,40.677266,-73.983156,"226 4th Ave, Brooklyn, NY","yes","no","yes","07/12/2020 10:17:00 AM","C",2019-08-19,"Pizza","07/12/2020"
"Norwinds",3030120026,"1043","Flushing ave","Brooklyn",11237,40.703983,-73.930637,"1043 Flushing ave, Brooklyn, NY","yes","yes","yes","06/30/2020 09:52:00 PM","A",2019-03-14,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","06/30/2020"
"JoJoï¿½s Philosophy",1005390042,"169","Bleeker st","Manhattan",10012,40.728745,-74.000318,"169 Bleeker st, Manhattan, NY","yes","yes","yes","07/24/2020 04:49:00 PM","A",2019-06-12,"American","07/24/2020"
"Vida Verde",1010260055,"248","West 55th Street","Manhattan",10019,40.765002,-73.982867,"248 West 55th Street, Manhattan, NY","yes","yes","yes","08/24/2020 03:13:00 PM","A",2019-12-26,"Chicken","08/24/2020"
"canaan sushi",1008040068,"154","West 29th street","Manhattan",10001,40.747294,-73.991595,"154  West 29th street, Manhattan, NY","yes","no","yes","06/29/2020 11:59:00 AM","A",2020-03-10,"Japanese","06/29/2020"
"Cabana",4032390038,"107-10","70th Road","Queens",11375,40.721058,-73.845573,"107-10  70th Road , Queens, NY","yes","yes","yes","06/19/2020 02:59:00 PM","C",2020-03-05,"Asian","06/19/2020"
"Fat Buddha",1004077502,"212-210","Avenue A","Manhattan",10009,40.729866,-73.98074,"212-210 Avenue A, Manhattan, NY","yes","no","yes","08/18/2020 05:03:00 PM","A",2018-03-27,"Asian","08/18/2020"
"Ole & Steen",1008470016,"873","Broadway","Manhattan",10003,40.737901,-73.990109,"873 Broadway, Manhattan, NY","yes","no","yes","07/09/2020 06:45:00 PM","A",2020-01-22,"Café/Coffee/Tea","07/09/2020"
"1020 Bar",1018820028,"1020","Amsterdam Avenue","Manhattan",10025,40.8031,-73.963782,"1020 Amsterdam Avenue, Manhattan, NY","yes","no","yes","07/16/2020 12:33:00 PM","A",2020-03-10,"Italian","07/16/2020"
"Parc Oasis Inc",3057450008,"6403","11th Ave","Brooklyn",11219,40.629143,-74.005393,"6403 11th Ave , Brooklyn, NY","yes","no","yes","07/15/2020 06:30:00 PM","A",2019-02-21,"Seafood","07/15/2020"
"Niles Restaurant",1008060076,"371","Seventh Avenue","Manhattan",10001,40.748806,-73.992204,"371  Seventh Avenue, Manhattan, NY","yes","yes","yes","07/09/2020 03:33:00 PM","N",2020-07-09,"Bakery","07/09/2020"
"POLLO CAMPERO",4019750009,"10326","ROOSEVELT AVENUE","Queens",11368,40.749894,-73.862397,"10326  ROOSEVELT AVENUE , Queens, NY","no","no","no","08/17/2020 01:03:00 PM","A",2020-01-07,"Spanish","08/17/2020"
"Las Palmas Restaurant II Inc",2057030186,"240","W 231st St","Bronx",10463,40.879623,-73.906225,"240  W 231st St, Bronx, NY","yes","no","yes","07/05/2020 12:19:00 PM","A",2019-11-07,"Mexican","07/05/2020"
"The Little Chinantla",4016130011,"96-06","43rd Ave","Queens",11368,40.74569,-73.867762,"96-06 43rd Ave, Queens, NY","yes","yes","yes","06/30/2020 05:33:00 PM","A",2019-10-07,"Mexican","06/30/2020"
"Sabay LLC",4014860044,"7519","Broadway","Queens",11373,40.746117,-73.890075,"7519 Broadway, Queens, NY","yes","no","yes","07/24/2020 07:20:00 PM","B",2020-03-03,"Thai","07/24/2020"
"Lao Shen Hotpot Corp",4053350064,"16034","Northern Blvd","Queens",11358,40.762764,-73.80518,"16034  Northern Blvd, Queens, NY","yes","yes","yes","07/09/2020 12:57:00 PM","C",2020-02-27,"Japanese","07/09/2020"
"Yakitori nonono",1008600015,"118","Madison Avenue","Manhattan",10016,40.745339,-73.984734,"118 Madison Avenue, Manhattan, NY","yes","yes","yes","07/29/2020 12:02:00 PM","A",2019-09-19,"Japanese","07/29/2020"
"Da Raffaele",1013420023,"883","1st Ave","Manhattan",10017,40.753525,-73.966426,"883 1st Ave, Manhattan, NY","yes","no","yes","07/15/2020 11:17:00 AM","A",2019-03-06,"Italian","07/15/2020"
"Khaluas Cafe",1016650150,"2117","3rd Avenue","Manhattan",10029,40.797708,-73.940182,"2117  3rd Avenue, Manhattan, NY","yes","yes","yes","07/01/2020 03:43:00 PM","A",2019-02-28,"Mexican","07/01/2020"
"Emir Palace",3054090036,"4210","18th Ave","Brooklyn",11218,40.631605,-73.975368,"4210 18th Ave, Brooklyn, NY","yes","yes","yes","07/11/2020 06:33:00 PM","A",2019-03-18,"Middle Eastern","07/11/2020"
"CHRISTOPHERS PALACE INC",3032270030,"1258","MYRTLE AVE","Brooklyn",11221,40.697896,-73.926979,"1258  MYRTLE AVE, Brooklyn, NY","yes","yes","yes","07/28/2020 12:47:00 PM","A",2019-02-15,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","07/28/2020"
"Queen of Tacos corporation",2033260122,"9","East Mosholu Pkwy North","Bronx",10467,40.880083,-73.883597,"9  East Mosholu Pkwy North, Bronx, NY","yes","yes","yes","07/13/2020 04:25:00 PM","B",2019-09-09,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","07/13/2020"
"Friedmans",1007330001,"450","10th Avenue","Manhattan",10019,40.755339,-73.998585,"450  10th Avenue , Manhattan, NY","yes","no","yes","07/11/2020 07:34:00 PM","A",2020-01-31,"American","07/11/2020"
"Estelle Lounge",3073510010,"1824","Avenue U","Brooklyn",11229,40.599171,-73.953245,"1824 Avenue U, Brooklyn, NY","yes","no","yes","06/30/2020 02:06:00 PM","A",2020-02-13,"Japanese","06/30/2020"
"Thai Son",1001990006,"89","Baxter Street","Manhattan",10013,40.716904,-73.999697,"89 Baxter Street, Manhattan, NY","no","yes","yes","07/11/2020 02:06:00 PM","A",2019-05-24,"Vietnamese/Cambodian/Malaysia","07/11/2020"
"Niche",1003480073,"172","Delancey Street","Manhattan",10002,40.717598,-73.985354,"172 Delancey Street, Manhattan, NY","yes","no","yes","07/30/2020 08:07:00 PM","A",2019-11-12,"Japanese","07/30/2020"
"Stone Creek Bar & Lounge",1008820059,"140","East 27th Street","Manhattan",10016,40.741856,-73.982534,"140 East 27th Street, Manhattan, NY","yes","yes","yes","07/02/2020 05:41:00 PM","A",2019-06-27,"American","07/02/2020"
"128 Mac Corp",1004347502,"128","E 7th street","Manhattan",10009,40.726216,-73.983945,"128 E 7th street, Manhattan, NY","no","no","yes","07/17/2020 11:22:00 PM","A",2019-06-14,"Greek","07/17/2020"
"NEW ISTANBUL GRILL",1006290029,"310","West 14th Street","Manhattan",10014,40.740119,-74.003414,"310 West 14th Street, Manhattan, NY","yes","yes","yes","08/14/2020 04:56:00 PM","A",2020-01-21,"Turkish","08/14/2020"
"Casa Mexicana",1018750036,"898","Amsterdam Avenue","Manhattan",10025,40.799042,-73.966742,"898 Amsterdam Avenue, Manhattan, NY","no","no","yes","08/06/2020 05:56:00 PM","A",2020-02-20,"Pizza","08/06/2020"
"PASTAI",1007450004,"186","9TH AVE","Manhattan",10011,40.745458,-74.002068,"186  9TH AVE, Manhattan, NY","yes","yes","yes","07/14/2020 01:22:00 PM","A",2019-05-30,"Italian","07/14/2020"
"California Sports Bar",4014930003,"82-18","Roosevelt Ave","Queens",11372,40.747653,-73.883674,"82-18 Roosevelt Ave , Queens, NY","yes","yes","yes","07/22/2020 03:54:00 PM","N",2020-07-22,"Mexican","07/22/2020"
"PINK MOOSE LLC",1013700001,"1070","First Avenue","Manhattan",10022,40.759173,-73.962283,"1070 First Avenue, Manhattan, NY","yes","no","yes","07/01/2020 09:05:00 AM","A",2019-11-02,"American","07/01/2020"
"Vezzo Thin Crust Pizza",1008860071,"130-132","East 31st Street","Manhattan",10016,40.744619,-73.981414,"130-132  East 31st Street, Manhattan, NY","yes","yes","yes","07/09/2020 04:27:00 PM","A",2019-10-03,"Pizza/Italian","07/09/2020"
"The Hamilton",1018810032,"998","Amsterdam Avenue","Manhattan",10025,40.802562,-73.964176,"998  Amsterdam Avenue, Manhattan, NY","yes","no","yes","08/11/2020 09:29:00 AM","A",2020-02-04,"American","08/11/2020"
"Koto Sushi",3011430003,"263","Flatbush Avenue","Brooklyn",11217,40.679943,-73.974445,"263 Flatbush Avenue, Brooklyn, NY","no","yes","yes","07/19/2020 02:48:00 PM","A",2020-03-09,"Japanese","07/19/2020"
"the rock nyc",4161350031,"9203","rockaway beach blvd","Queens",11693,40.586377,-73.815617,"9203 rockaway beach blvd, Queens, NY","yes","no","yes","07/25/2020 09:46:00 AM","A",2019-06-22,"Tapas","07/25/2020"
"Piccola cucina osteria",1004890018,"196","spring street","Manhattan",10012,40.72513,-74.003153,"196  spring street, Manhattan, NY","no","no","yes","07/17/2020 12:23:00 PM","A",2019-10-24,"Italian","07/17/2020"
"Michaelangelo's Brick Oven Inc",2030660047,"2477","Arthur Ave","Bronx",10458,40.857173,-73.886197,"2477 Arthur Ave, Bronx, NY","no","no","yes","07/07/2020 11:33:00 AM","A",2019-05-30,"Pizza/Italian","07/07/2020"
"Samurai Papa BS",3017890010,"594","Lafayette Avenue","Brooklyn",11216,40.689902,-73.951064,"594 Lafayette Avenue, Brooklyn, NY","yes","no","yes","07/29/2020 11:00:00 PM","A",2019-11-21,"Japanese","07/29/2020"
"Patrick's Place",1020460028,"2835","Frederick Douglas Blvd","Manhattan",10039,40.826725,-73.93909,"2835 Frederick Douglas Blvd, Manhattan, NY","yes","no","yes","07/05/2020 04:05:00 PM","A",2019-06-17,"Seafood","07/05/2020"
"Stone Park Cafe",3009740044,"324","5th Ave","Brooklyn",11215,40.672891,-73.983219,"324 5th Ave, Brooklyn, NY","yes","yes","yes","07/31/2020 03:08:00 PM","A",2019-10-10,"American","07/31/2020"
"The 13th Step",1004650053,"149","Second Ave","Manhattan",10003,40.72937,-73.987123,"149 Second Ave, Manhattan, NY","yes","no","yes","08/10/2020 01:37:00 PM","B",2019-12-12,"American","08/10/2020"
"THEATER RESTAURANT BOULEVARD",4014300006,"8222","NORTHERN BLVD","Queens",11372,40.755578,-73.885082,"8222 NORTHERN BLVD, Queens, NY","yes","yes","yes","06/29/2020 08:58:00 PM","A",2020-03-04,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","06/29/2020"
"Proto's Pizza",1004440008,"50","2nd Avenue","Manhattan",10003,40.725391,-73.989992,"50 2nd Avenue, Manhattan, NY","yes","no","yes","07/19/2020 07:31:00 PM","A",2018-11-19,"Pizza/Italian","07/19/2020"
"HARBS",1005150008,"465","West Broadway","Manhattan",10012,40.726379,-74.000372,"465 West Broadway, Manhattan, NY","yes","yes","yes","07/25/2020 10:33:00 AM","A",2019-09-10,"Bakery","07/25/2020"
"Sidecar",3010470043,"560","Fifth Avenue","Brooklyn",11215,40.665269,-73.989572,"560 Fifth Avenue, Brooklyn, NY","yes","yes","yes","07/07/2020 11:03:00 AM","A",2019-09-14,"American","07/07/2020"
"Clandestino",1002970036,"35","Canal Street","Manhattan",10002,40.714645,-73.991018,"35 Canal Street, Manhattan, NY","no","no","yes","07/22/2020 01:31:00 PM","A",2019-12-18,"French","07/22/2020"
"Thai Chella",1010390063,"712","9th Avenue","Manhattan",10019,40.762599,-73.989589,"712 9th Avenue, Manhattan, NY","yes","no","yes","07/29/2020 03:08:00 PM","A",2019-11-13,"Thai","07/29/2020"
