"Zip","City","Latitude","Longitude"
11418,"Richmond Hill",40.698485,-73.83365
11210,"Brooklyn",40.627946,-73.94552
10012,"New York",40.72596,-73.99834
10308,"Staten Island",40.551353,-74.15098
10039,"New York",40.826181,-73.9371
11372,"Jackson Heights",40.750146,-73.88433
10452,"Bronx",40.838745,-73.92234
10471,"Bronx",40.900819,-73.90347
10014,"New York",40.734718,-74.00532
11428,"Queens Village",40.719981,-73.74127
10027,"New York",40.812665,-73.95499
10464,"Bronx",40.857017,-73.78903
11374,"Rego Park",40.724945,-73.8609
10036,"New York",40.759511,-73.99019
11360,"Bayside",40.780386,-73.78005
11218,"Brooklyn",40.644552,-73.97595
11233,"Brooklyn",40.676938,-73.91858
11368,"Corona",40.747106,-73.85838
11697,"Breezy Point",40.560167,-73.90891
10003,"New York",40.732509,-73.98935
11693,"Far Rockaway",40.596959,-73.81978
11236,"Brooklyn",40.640527,-73.90362
11203,"Brooklyn",40.649059,-73.93304
11206,"Brooklyn",40.702348,-73.94288
11436,"Jamaica",40.674146,-73.79687
11104,"Sunnyside",40.743796,-73.91949
10461,"Bronx",40.842917,-73.83819
11208,"Brooklyn",40.672666,-73.87248
11213,"Brooklyn",40.670937,-73.93459
11358,"Flushing",40.760522,-73.79612
11427,"Queens Village",40.728235,-73.74782
10306,"Staten Island",40.569394,-74.11785
10474,"Bronx",40.81321,-73.88755
10460,"Bronx",40.84095,-73.88036
10470,"Bronx",40.900629,-73.86072
10312,"Staten Island",40.543117,-74.17628
10305,"Staten Island",40.599021,-74.07503
11356,"College Point",40.785462,-73.84366
10304,"Staten Island",40.60787,-74.08991
11414,"Howard Beach",40.658188,-73.84321
11209,"Brooklyn",40.62327,-74.0295
11421,"Woodhaven",40.69087,-73.85828
10030,"New York",40.818151,-73.94351
10307,"Staten Island",40.508274,-74.24387
11212,"Brooklyn",40.662191,-73.91328
11366,"Fresh Meadows",40.726137,-73.79502
11354,"Flushing",40.767969,-73.82496
10472,"Bronx",40.830409,-73.86845
11419,"South Richmond Hill",40.688688,-73.82216
11691,"Far Rockaway",40.60002,-73.75962
11426,"Bellerose",40.732239,-73.72108
10301,"Staten Island",40.631775,-74.09432
10451,"Bronx",40.819729,-73.9223
11224,"Brooklyn",40.576589,-73.99172
11223,"Brooklyn",40.598142,-73.97229
11422,"Rosedale",40.662538,-73.73514
10032,"New York",40.840686,-73.94154
11361,"Bayside",40.763177,-73.77392
11417,"Ozone Park",40.675534,-73.84476
11239,"Brooklyn",40.645848,-73.87919
11220,"Brooklyn",40.641436,-74.01574
10005,"New York",40.706019,-74.00858
10002,"New York",40.71704,-73.987
11221,"Brooklyn",40.691234,-73.92637
10033,"New York",40.848764,-73.93496
10019,"New York",40.765714,-73.9856
10302,"Staten Island",40.631127,-74.13715
10473,"Bronx",40.818514,-73.85893
11423,"Hollis",40.714261,-73.76824
10006,"New York",40.707904,-74.01342
11373,"Elmhurst",40.736076,-73.87804
11103,"Astoria",40.762968,-73.91091
11363,"Little Neck",40.772636,-73.74644
11217,"Brooklyn",40.68209,-73.97783
11355,"Flushing",40.749463,-73.81941
10463,"Bronx",40.881086,-73.90749
11434,"Jamaica",40.674888,-73.7727
10459,"Bronx",40.825432,-73.89327
10018,"New York",40.755101,-73.99337
11228,"Brooklyn",40.617563,-74.01168
10457,"Bronx",40.846745,-73.89861
10016,"New York",40.74618,-73.97759
10456,"Bronx",40.829676,-73.90856
11230,"Brooklyn",40.622994,-73.96427
11106,"Astoria",40.762012,-73.93147
11205,"Brooklyn",40.694214,-73.96529
11379,"Middle Village",40.716028,-73.87925
10314,"Staten Island",40.606337,-74.14513
11004,"Glen Oaks",40.742944,-73.70956
11214,"Brooklyn",40.598994,-73.99611
10001,"New York",40.750742,-73.99653
11216,"Brooklyn",40.680398,-73.94824
11369,"East Elmhurst",40.762854,-73.87051
11201,"Brooklyn",40.695286,-73.98907
11416,"Ozone Park",40.683301,-73.8503
11413,"Springfield Gardens",40.670138,-73.75141
11225,"Brooklyn",40.662892,-73.95509
10023,"New York",40.776099,-73.98285
11101,"Long Island City",40.745341,-73.93907
10035,"New York",40.802395,-73.93359
11429,"Queens Village",40.708833,-73.73903
10467,"Bronx",40.872265,-73.86937
11231,"Brooklyn",40.6788,-74.00254
10013,"New York",40.720666,-74.00526
10031,"New York",40.826201,-73.94879
11222,"Brooklyn",40.726302,-73.94559
10466,"Bronx",40.89095,-73.84702
10310,"Staten Island",40.63212,-74.11551
11219,"Brooklyn",40.632449,-73.99629
11433,"Jamaica",40.696538,-73.78734
10462,"Bronx",40.842173,-73.85862
11105,"Astoria",40.774686,-73.90816
11232,"Brooklyn",40.655481,-74.00424
10469,"Bronx",40.868643,-73.84735
11362,"Little Neck",40.759686,-73.73322
11204,"Brooklyn",40.618944,-73.98473
10280,"New York",40.707467,-74.0178
10022,"New York",40.759015,-73.96732
10009,"New York",40.727093,-73.97864
11235,"Brooklyn",40.583803,-73.95019
10021,"New York",40.76842,-73.96045
10303,"Staten Island",40.629448,-74.16239
11367,"Flushing",40.728614,-73.82145
11211,"Brooklyn",40.71209,-73.95427
11238,"Brooklyn",40.680145,-73.96257
10040,"New York",40.858704,-73.92853
10017,"New York",40.752159,-73.97231
10453,"Bronx",40.853017,-73.91214
10029,"New York",40.791586,-73.94575
10044,"New York",40.762174,-73.94917
11415,"Kew Gardens",40.706903,-73.82973
10465,"Bronx",40.825727,-73.81752
10010,"New York",40.739022,-73.98205
11420,"South Ozone Park",40.673138,-73.81443
10455,"Bronx",40.815559,-73.90771
10007,"New York",40.714754,-74.00721
11364,"Oakland Gardens",40.746718,-73.75994
10037,"New York",40.813385,-73.93616
10026,"New York",40.802853,-73.95471
11692,"Arverne",40.592939,-73.79568
10025,"New York",40.798502,-73.96811
10128,"New York",40.781894,-73.95039
11226,"Brooklyn",40.645256,-73.95553
11365,"Fresh Meadows",40.738983,-73.79209
10309,"Staten Island",40.529749,-74.21304
11370,"East Elmhurst",40.763015,-73.89052
11357,"Whitestone",40.784453,-73.80922
10028,"New York",40.776777,-73.9541
10454,"Bronx",40.805968,-73.91628
11435,"Jamaica",40.700068,-73.80986
11432,"Jamaica",40.714144,-73.79324
10024,"New York",40.786387,-73.97709
10458,"Bronx",40.864166,-73.88881
11234,"Brooklyn",40.618561,-73.9216
11412,"Saint Albans",40.697188,-73.75948
11694,"Rockaway Park",40.57649,-73.84721
11102,"Astoria",40.771286,-73.92462
10011,"New York",40.741012,-74.00012
10468,"Bronx",40.867107,-73.89916
11378,"Maspeth",40.724096,-73.90271
11385,"Ridgewood",40.703069,-73.89285
10475,"Bronx",40.878522,-73.82541
11375,"Forest Hills",40.720535,-73.84582
11237,"Brooklyn",40.703355,-73.91993
11411,"Cambria Heights",40.693538,-73.73574
11229,"Brooklyn",40.599256,-73.94118
11207,"Brooklyn",40.670874,-73.89424
10034,"New York",40.867653,-73.92
10038,"New York",40.709677,-74.00365
11215,"Brooklyn",40.667508,-73.9856
11377,"Woodside",40.742869,-73.90377
1,"New York",1,3
2,"New York",2,2
3,"New York",3,1
